idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao,anos_experiencia
52,1971-11-29,Minas Gerais,10034.33,Ensino Médio,1,Casado,Tecnologia,23
50,1974-04-03,Distrito Federal,16389.34,Ensino Superior,2,Solteiro,Tecnologia,11
42,1981-12-05,Paraíba,13457.51,Ensino Superior,0,Casado,Indústria,12
61,1962-11-19,Goiás,3273.32,Ensino Médio,0,Divorciado,Comércio,3
73,1951-03-05,Pernambuco,4554.8,Ensino Médio,1,Casado,Indústria,10
53,1970-08-01,Rio de Janeiro,2667.42,Ensino Fundamental,2,Solteiro,Comércio,7
21,2002-06-21,Ceará,5947.06,Ensino Médio,0,Solteiro,Tecnologia,3
32,1992-03-16,Maranhão,4566.48,Ensino Médio,3,Solteiro,Saúde,5
29,1994-12-05,Acre,5652.45,Ensino Médio,0,Casado,Comércio,0
51,1972-07-23,Pernambuco,4474.68,Ensino Médio,0,Solteiro,Indústria,23
27,1996-10-15,Piauí,6125.8,Ensino Superior,1,Casado,Tecnologia,4
24,2000-03-12,Maranhão,4695.32,Ensino Médio,3,Casado,Saúde,1
41,1982-04-16,Amazonas,4741.78,Ensino Médio,1,Casado,Comércio,1
48,1975-11-13,São Paulo,7067.14,Ensino Médio,1,Solteiro,Tecnologia,5
29,1994-12-11,Mato Grosso do Sul,4489.07,Ensino Médio,0,Solteiro,Saúde,6
51,1972-06-09,Distrito Federal,9175.12,Ensino Médio,2,Casado,Saúde,5
29,1994-09-19,Maranhão,4864.75,Ensino Médio,3,Casado,Tecnologia,2
19,2004-06-22,Distrito Federal,3348.42,Ensino Médio,0,Solteiro,Indústria,1
50,1973-05-18,Sergipe,3561.43,Ensino Fundamental,3,Casado,Tecnologia,24
18,2005-12-02,Pernambuco,5811.45,Ensino Médio,2,Solteiro,Saúde,0
63,1960-09-29,Rio Grande do Norte,7697.72,Ensino Médio,0,Casado,Comércio,26
31,1992-12-03,Rondônia,6145.97,Ensino Médio,0,Casado,Tecnologia,7
58,1966-03-14,Piauí,6198.59,Ensino Fundamental,1,Solteiro,Saúde,11
28,1995-04-22,Piauí,11764.37,Ensino Superior,2,Viúvo,Tecnologia,9
18,2005-04-26,Paraná,4393.41,Ensino Fundamental,0,Casado,Tecnologia,0
46,1978-04-07,Rio de Janeiro,5071.28,Ensino Médio,1,Solteiro,Educação,5
60,1963-06-30,Sergipe,10301.85,Ensino Superior,1,Casado,Tecnologia,31
76,1948-03-12,Amazonas,2458.68,Ensino Fundamental,0,Divorciado,Saúde,18
21,2002-12-09,Espírito Santo,5652.79,Ensino Médio,1,Casado,Educação,0
23,2001-03-07,Paraná,3593.91,Ensino Médio,2,Divorciado,Educação,1
38,1985-05-15,Distrito Federal,2905.95,Ensino Médio,5,Casado,Saúde,1
22,2001-11-25,Rio de Janeiro,3810.1,Ensino Médio,1,Casado,Comércio,0
50,1973-09-08,Mato Grosso,4999.67,Ensino Médio,2,Divorciado,Tecnologia,1
19,2004-12-26,Sergipe,3355.61,Ensino Médio,1,Casado,Educação,1
57,1967-01-27,Tocantins,9026.01,Ensino Médio,4,Solteiro,Educação,22
49,1974-09-12,Tocantins,3776.78,Ensino Fundamental,0,Casado,Educação,5
73,1950-12-23,Pernambuco,1459.77,Ensino Fundamental,2,Casado,Educação,4
54,1969-12-31,Sergipe,23079.38,Pós-graduação,0,Casado,Indústria,32
52,1972-01-25,Ceará,15971.89,Ensino Superior,0,Solteiro,Comércio,27
41,1983-01-15,Distrito Federal,6459.94,Ensino Superior,2,Casado,Saúde,22
48,1975-12-17,Rio Grande do Norte,5453.98,Ensino Médio,3,Solteiro,Educação,11
50,1973-06-03,Espírito Santo,6987.84,Ensino Médio,1,Casado,Saúde,22
43,1980-06-21,Mato Grosso do Sul,4696.28,Ensino Médio,4,Solteiro,Saúde,2
40,1984-02-16,Pernambuco,6941.68,Ensino Médio,1,Divorciado,Indústria,2
25,1998-04-14,São Paulo,4631.72,Ensino Médio,0,Casado,Tecnologia,0
42,1982-01-30,Rio Grande do Norte,4728.48,Ensino Superior,1,Casado,Educação,3
25,1999-01-19,Pernambuco,3351.06,Ensino Fundamental,1,Solteiro,Saúde,2
36,1987-09-23,Rondônia,11880.71,Ensino Superior,1,Casado,Saúde,5
60,1963-12-30,Rio Grande do Sul,9700.81,Ensino Superior,0,Solteiro,Saúde,7
32,1991-05-12,Alagoas,3517.79,Ensino Fundamental,0,Casado,Educação,12
33,1991-01-22,Acre,3409.81,Ensino Médio,3,Casado,Educação,15
34,1989-08-08,Tocantins,9494.53,Ensino Superior,0,Solteiro,Tecnologia,4
31,1993-02-06,Espírito Santo,2102.89,Ensino Fundamental,0,Solteiro,Comércio,3
78,1945-11-21,Paraná,5302.52,Ensino Médio,3,Solteiro,Comércio,13
23,2000-07-26,Mato Grosso do Sul,2745.67,Ensino Fundamental,0,Casado,Comércio,3
35,1989-01-14,Mato Grosso,5255.93,Ensino Médio,0,Casado,Indústria,11
57,1966-10-15,Santa Catarina,5193.26,Ensino Médio,0,Casado,Tecnologia,14
23,2000-11-17,São Paulo,4326.64,Ensino Médio,2,Casado,Comércio,3
54,1970-03-04,Amazonas,11059.32,Ensino Médio,1,Casado,Saúde,23
87,1936-06-13,Espírito Santo,4312.87,Ensino Fundamental,2,Viúvo,Indústria,19
36,1987-10-15,Paraíba,13207.67,Ensino Superior,2,Casado,Tecnologia,18
54,1969-11-22,Santa Catarina,4284.47,Ensino Médio,2,Casado,Educação,33
34,1990-02-21,Paraná,6865.04,Ensino Médio,0,Casado,Saúde,4
45,1978-12-29,Alagoas,4137.5,Ensino Médio,0,Solteiro,Comércio,23
38,1985-07-31,São Paulo,4716.67,Ensino Médio,5,Casado,Educação,11
33,1990-11-21,Rio Grande do Norte,6308.29,Ensino Médio,1,Solteiro,Saúde,5
58,1965-11-17,Mato Grosso,8867.86,Ensino Médio,1,Casado,Educação,12
53,1970-05-01,Sergipe,7996.05,Ensino Médio,3,Solteiro,Saúde,35
36,1988-04-02,Santa Catarina,4629.92,Ensino Fundamental,0,Casado,Tecnologia,0
60,1963-04-13,Mato Grosso,6247.64,Ensino Fundamental,2,Casado,Indústria,14
46,1977-08-26,Rio Grande do Sul,10235.8,Ensino Superior,3,Casado,Indústria,16
54,1969-11-20,Maranhão,16197.49,Ensino Superior,1,Casado,Tecnologia,23
18,2005-04-26,Bahia,3325.99,Ensino Fundamental,3,Casado,Educação,0
21,2003-01-09,Mato Grosso do Sul,5314.37,Ensino Médio,2,Casado,Tecnologia,1
52,1971-09-20,Rio de Janeiro,5790.07,Ensino Superior,1,Casado,Comércio,7
21,2002-07-28,Piauí,3952.01,Ensino Fundamental,0,Casado,Tecnologia,2
21,2003-04-01,Mato Grosso do Sul,8694.99,Pós-graduação,0,Casado,Saúde,2
63,1961-02-17,Paraíba,3748.66,Ensino Fundamental,1,Solteiro,Indústria,10
44,1979-07-05,Espírito Santo,4488.49,Ensino Médio,0,Casado,Educação,5
60,1963-07-21,Acre,3498.63,Ensino Fundamental,0,Solteiro,Indústria,24
26,1998-04-02,Distrito Federal,9033.14,Pós-graduação,1,Casado,Comércio,4
42,1981-06-29,Paraná,5923.32,Ensino Médio,2,Casado,Educação,10
30,1994-02-08,Alagoas,7037.35,Ensino Médio,1,Casado,Indústria,11
36,1987-11-18,Mato Grosso,7285.2,Ensino Médio,0,Casado,Educação,18
39,1984-12-24,Bahia,4049.18,Ensino Médio,0,Casado,Saúde,17
38,1985-04-19,Piauí,5838.33,Ensino Médio,2,Viúvo,Comércio,18
51,1972-04-19,Rio Grande do Sul,4569.48,Ensino Médio,3,Casado,Saúde,12
24,1999-06-16,Minas Gerais,6421.94,Ensino Médio,2,Casado,Indústria,2
76,1947-09-02,Tocantins,2584.2,Ensino Médio,1,Casado,Saúde,15
18,2005-06-18,São Paulo,2737.16,Ensino Médio,3,Casado,Indústria,0
49,1974-07-24,Piauí,2971.42,Ensino Médio,0,Solteiro,Educação,7
49,1974-09-22,Acre,4145.01,Ensino Médio,1,Solteiro,Tecnologia,11
50,1974-02-10,Rio de Janeiro,5829.28,Ensino Médio,1,Casado,Comércio,6
43,1980-10-21,Roraima,6477.54,Ensino Médio,3,Casado,Tecnologia,0
46,1977-10-27,Rondônia,11184.38,Ensino Médio,0,Casado,Saúde,20
48,1975-09-06,Minas Gerais,13255.56,Ensino Médio,5,Solteiro,Tecnologia,29
27,1997-03-05,Mato Grosso,5672.7,Ensino Médio,0,Casado,Comércio,4
51,1973-01-14,Mato Grosso,3095.97,Ensino Médio,3,Casado,Saúde,2
61,1962-11-24,Acre,4543.89,Ensino Fundamental,1,Casado,Comércio,12
29,1994-06-01,Rio Grande do Norte,4597.57,Ensino Médio,2,Solteiro,Saúde,8
51,1972-12-27,Piauí,8129.78,Ensino Médio,1,Solteiro,Indústria,12
55,1968-07-26,Rio Grande do Sul,8025.7,Ensino Médio,1,Casado,Comércio,34
47,1976-07-25,Santa Catarina,1985.55,Ensino Fundamental,0,Casado,Comércio,2
45,1978-04-22,Pará,8155.01,Ensino Médio,0,Solteiro,Comércio,18
23,2000-05-23,Rondônia,6282.77,Ensino Médio,0,Casado,Comércio,5
51,1972-05-16,Amapá,6476.33,Ensino Médio,3,Solteiro,Educação,0
42,1981-12-08,Mato Grosso do Sul,2882.15,Ensino Médio,0,Solteiro,Indústria,3
21,2002-11-17,Roraima,6602.66,Ensino Médio,0,Solteiro,Tecnologia,3
50,1973-06-25,Piauí,9305.67,Ensino Médio,1,Viúvo,Saúde,27
47,1977-01-02,Espírito Santo,5607.64,Ensino Fundamental,1,Casado,Indústria,21
34,1990-03-01,Pará,14028.46,Pós-graduação,1,Solteiro,Comércio,9
35,1989-01-07,Rondônia,3115.24,Ensino Fundamental,0,Viúvo,Indústria,13
49,1974-05-01,Goiás,8629.7,Ensino Médio,1,Solteiro,Saúde,15
47,1977-01-02,Minas Gerais,9073.93,Ensino Médio,0,Divorciado,Tecnologia,11
53,1971-04-08,Alagoas,3916.65,Ensino Fundamental,2,Casado,Educação,0
29,1994-06-05,Paraná,6444.83,Ensino Médio,1,Casado,Saúde,7
27,1997-01-08,Amapá,2760.69,Ensino Médio,2,Casado,Comércio,7
27,1996-11-19,Santa Catarina,3616.34,Ensino Fundamental,2,Casado,Saúde,9
59,1964-10-18,Rio Grande do Sul,12827.34,Ensino Superior,0,Casado,Saúde,37
66,1957-09-13,Rio de Janeiro,9666.98,Ensino Médio,0,Solteiro,Educação,27
65,1958-10-27,Acre,9657.48,Ensino Médio,1,Casado,Educação,41
28,1995-12-30,Rio Grande do Norte,8568.15,Ensino Médio,1,Casado,Saúde,8
48,1976-03-20,Amazonas,9103.8,Ensino Médio,2,Solteiro,Saúde,14
56,1967-08-16,Distrito Federal,4493.57,Ensino Fundamental,1,Viúvo,Tecnologia,10
27,1997-01-08,Paraná,3987.39,Ensino Fundamental,0,Casado,Tecnologia,4
31,1992-04-15,Minas Gerais,4951.5,Ensino Médio,2,Solteiro,Educação,2
18,2006-02-27,Pará,7170.1,Ensino Superior,0,Casado,Saúde,0
31,1992-10-13,Sergipe,2918.68,Ensino Fundamental,0,Casado,Tecnologia,4
51,1972-10-04,Piauí,5131.33,Ensino Fundamental,0,Solteiro,Educação,19
56,1968-02-01,Amazonas,16455.98,Ensino Superior,1,Casado,Comércio,29
22,2001-05-19,Minas Gerais,3919.84,Ensino Médio,0,Solteiro,Tecnologia,2
23,2001-03-11,Amapá,6166.08,Ensino Médio,0,Casado,Indústria,2
44,1979-08-21,Tocantins,10062.22,Ensino Médio,2,Solteiro,Tecnologia,7
65,1958-06-27,Maranhão,15681.5,Ensino Médio,1,Solteiro,Saúde,45
45,1978-11-14,Maranhão,2600.37,Ensino Fundamental,1,Solteiro,Comércio,17
53,1970-10-11,Paraíba,5130.83,Ensino Médio,1,Solteiro,Tecnologia,10
26,1997-06-21,Paraíba,3126.09,Ensino Médio,0,Divorciado,Saúde,4
37,1987-01-02,Pará,4879.22,Ensino Médio,2,Casado,Indústria,18
43,1981-03-17,Distrito Federal,8582.19,Ensino Médio,0,Casado,Indústria,12
83,1941-03-11,Goiás,3890.15,Ensino Médio,1,Casado,Indústria,61
30,1993-09-24,Rio de Janeiro,2222.69,Ensino Fundamental,1,Solteiro,Educação,6
48,1976-01-11,Rio Grande do Norte,7112.61,Ensino Fundamental,1,Casado,Indústria,26
31,1992-09-19,Alagoas,3807.09,Ensino Fundamental,1,Viúvo,Educação,11
35,1988-11-09,Roraima,2974.64,Ensino Médio,3,Casado,Educação,7
41,1983-04-07,Sergipe,7676.4,Ensino Médio,1,Casado,Indústria,6
52,1971-06-14,Sergipe,3280.71,Ensino Fundamental,1,Casado,Comércio,0
35,1988-10-09,Pernambuco,4210.99,Ensino Superior,1,Casado,Educação,10
60,1963-05-04,São Paulo,9350.45,Ensino Superior,1,Casado,Educação,19
30,1994-03-18,Minas Gerais,5858.11,Ensino Superior,1,Casado,Educação,6
44,1980-02-25,Ceará,5449.51,Ensino Médio,0,Solteiro,Educação,25
27,1997-03-05,Amapá,4360.97,Ensino Médio,0,Casado,Saúde,0
43,1981-04-02,Rio de Janeiro,8293.65,Ensino Médio,2,Solteiro,Saúde,18
64,1959-06-09,Paraná,3612.79,Ensino Fundamental,0,Casado,Indústria,3
22,2002-03-13,Roraima,4884.39,Ensino Médio,2,Solteiro,Saúde,0
58,1965-06-28,São Paulo,5452.63,Ensino Médio,3,Solteiro,Educação,26
18,2005-09-13,Pernambuco,3187.91,Ensino Médio,2,Casado,Educação,0
49,1974-09-05,Paraíba,2539.54,Ensino Fundamental,1,Solteiro,Indústria,3
65,1959-02-11,Sergipe,17875.51,Ensino Médio,1,Casado,Tecnologia,38
20,2003-06-11,Roraima,9057.3,Pós-graduação,3,Casado,Comércio,2
88,1936-02-28,Ceará,3337.01,Ensino Médio,0,Casado,Comércio,0
53,1970-05-11,Mato Grosso,6315.77,Ensino Médio,0,Solteiro,Comércio,8
61,1962-08-25,Tocantins,16543.44,Ensino Superior,2,Casado,Tecnologia,35
29,1994-08-19,Bahia,6135.87,Ensino Médio,0,Casado,Educação,8
40,1983-06-01,Amapá,6123.47,Ensino Médio,1,Casado,Indústria,7
29,1995-01-05,Santa Catarina,3981.3,Ensino Médio,1,Casado,Educação,8
41,1983-03-28,Sergipe,3963.47,Ensino Fundamental,0,Casado,Indústria,6
50,1974-03-24,Alagoas,3105.52,Ensino Fundamental,1,Casado,Indústria,28
48,1975-10-11,Minas Gerais,4807.55,Ensino Médio,3,Solteiro,Comércio,11
36,1987-10-23,Bahia,3092.8,Ensino Médio,2,Casado,Educação,0
29,1995-01-24,Paraíba,8798.97,Pós-graduação,0,Casado,Saúde,0
58,1965-11-21,Espírito Santo,11190.69,Ensino Médio,0,Casado,Indústria,33
38,1986-03-22,Mato Grosso,2627.73,Ensino Médio,2,Solteiro,Educação,6
29,1995-02-25,Maranhão,7874.86,Ensino Médio,1,Casado,Tecnologia,4
46,1977-09-28,Pernambuco,10460.83,Ensino Médio,1,Divorciado,Saúde,24
35,1989-02-24,Minas Gerais,5849.23,Ensino Superior,0,Casado,Comércio,8
48,1975-05-31,Roraima,3233.13,Ensino Fundamental,2,Casado,Educação,25
37,1986-09-03,Bahia,3044.81,Ensino Fundamental,0,Casado,Comércio,0
48,1975-05-26,Paraíba,15024.51,Ensino Superior,0,Solteiro,Saúde,24
19,2004-12-31,Alagoas,7204.6,Ensino Médio,1,Casado,Tecnologia,0
22,2002-03-27,Sergipe,4108.62,Ensino Médio,1,Casado,Indústria,3
30,1993-12-26,Rio Grande do Norte,2395.96,Ensino Fundamental,0,Solteiro,Educação,1
18,2006-02-21,Rio de Janeiro,2278.2,Ensino Fundamental,0,Casado,Saúde,0
26,1997-06-30,Rio de Janeiro,3767.11,Ensino Fundamental,1,Solteiro,Tecnologia,1
41,1982-09-27,Espírito Santo,9778.02,Ensino Superior,4,Casado,Tecnologia,13
53,1971-01-23,Rio Grande do Sul,2873.12,Ensino Fundamental,0,Casado,Educação,26
28,1995-11-05,Distrito Federal,4462.04,Ensino Médio,0,Solteiro,Saúde,6
22,2002-03-10,Alagoas,3679.53,Ensino Fundamental,1,Casado,Saúde,0
89,1934-05-19,Rio Grande do Sul,8598.3,Ensino Superior,1,Casado,Educação,28
19,2004-10-14,Rondônia,5069.1,Ensino Médio,2,Casado,Saúde,0
57,1966-04-18,Alagoas,5687.16,Ensino Médio,0,Solteiro,Saúde,39
65,1958-11-01,Espírito Santo,6464.41,Ensino Médio,0,Casado,Indústria,42
45,1978-09-16,Mato Grosso,9394.19,Pós-graduação,1,Casado,Educação,26
41,1982-11-11,Paraíba,16689.17,Pós-graduação,2,Divorciado,Tecnologia,19
39,1984-06-02,Tocantins,4296.33,Ensino Médio,3,Casado,Indústria,11
47,1976-12-27,Santa Catarina,4141.87,Ensino Fundamental,0,Casado,Educação,28
19,2004-04-17,Rio Grande do Norte,4981.32,Ensino Médio,0,Solteiro,Educação,0
33,1990-05-03,Santa Catarina,2785.6,Ensino Fundamental,1,Casado,Saúde,13
